GEO_ID,NAME,Total_Pop,Total_Pop_ME,Percent_Below_Poverty,Percent_Below_Poverty_ME
1400000US53033010401,"Census Tract 104.01, King County, Washington",4321,427,14,5.8
1400000US53033010402,"Census Tract 104.02, King County, Washington",4887,376,7.3,4.4
1400000US53033010500,"Census Tract 105, King County, Washington",8991,578,6.2,2.6
1400000US53033010600,"Census Tract 106, King County, Washington",8650,443,2.4,1.2
1400000US53033010701,"Census Tract 107.01, King County, Washington",3929,327,19.7,5.8
1400000US53033010702,"Census Tract 107.02, King County, Washington",4792,344,26.4,11.5
1400000US53033010800,"Census Tract 108, King County, Washington",4799,313,9.9,4.1
1400000US53033010900,"Census Tract 109, King County, Washington",1086,138,7.7,3.7
1400000US53033011001,"Census Tract 110.01, King County, Washington",5006,363,39.5,8.9
1400000US53033011002,"Census Tract 110.02, King County, Washington",4923,434,33.3,10.3
1400000US53033011101,"Census Tract 111.01, King County, Washington",5550,451,11.5,6.2
1400000US53033011102,"Census Tract 111.02, King County, Washington",4983,452,7.6,4.7
1400000US53033011200,"Census Tract 112, King County, Washington",3567,315,27.9,9
1400000US53033011300,"Census Tract 113, King County, Washington",6619,448,8.3,3.9
1400000US53033011401,"Census Tract 114.01, King County, Washington",4479,267,12.8,3.7
1400000US53033011402,"Census Tract 114.02, King County, Washington",4236,298,11.1,4.2
1400000US53033011500,"Census Tract 115, King County, Washington",4513,311,5.3,2.4
1400000US53033011600,"Census Tract 116, King County, Washington",6988,402,6.6,2.2
1400000US53033011700,"Census Tract 117, King County, Washington",5456,473,14.1,5
1400000US53033011800,"Census Tract 118, King County, Washington",8708,860,18.7,7
1400000US53033011900,"Census Tract 119, King County, Washington",7519,731,17.5,6.4
1400000US53033012000,"Census Tract 120, King County, Washington",3701,256,3.6,2.5
1400000US53033012100,"Census Tract 121, King County, Washington",2724,200,0.8,0.8
1400000US53033020100,"Census Tract 201, King County, Washington",3252,191,2.8,1.7
1400000US53033020200,"Census Tract 202, King County, Washington",5157,452,6.5,2.9
1400000US53033020300,"Census Tract 203, King County, Washington",7335,477,12.9,5.4
1400000US53033020401,"Census Tract 204.01, King County, Washington",3649,236,5.1,2.3
1400000US53033020402,"Census Tract 204.02, King County, Washington",5499,350,7.2,3
1400000US53033020500,"Census Tract 205, King County, Washington",6851,450,5.5,2.6
1400000US53033020600,"Census Tract 206, King County, Washington",3678,266,4.4,2.3
1400000US53033020700,"Census Tract 207, King County, Washington",4056,297,10,4.1
1400000US53033020800,"Census Tract 208, King County, Washington",4279,193,5.1,2.3
1400000US53033020900,"Census Tract 209, King County, Washington",3318,273,8.2,3.6
1400000US53033021000,"Census Tract 210, King County, Washington",6015,401,6.1,2.7
1400000US53033021100,"Census Tract 211, King County, Washington",4275,301,11,6.4
1400000US53033021300,"Census Tract 213, King County, Washington",3955,281,5.8,2.6
1400000US53033021400,"Census Tract 214, King County, Washington",3951,204,4.7,2.2
1400000US53033021500,"Census Tract 215, King County, Washington",4784,317,3.2,2.3
1400000US53033021600,"Census Tract 216, King County, Washington",4881,319,6.1,2.9
1400000US53033021700,"Census Tract 217, King County, Washington",8962,478,6,2.5
1400000US53033021802,"Census Tract 218.02, King County, Washington",5978,389,3.5,2.4
1400000US53033021803,"Census Tract 218.03, King County, Washington",5025,386,6.5,3.3
1400000US53033021804,"Census Tract 218.04, King County, Washington",4876,412,7.2,3
1400000US53033021903,"Census Tract 219.03, King County, Washington",6146,465,7.5,3.2
1400000US53033021904,"Census Tract 219.04, King County, Washington",5199,264,6.8,2.7
1400000US53033021905,"Census Tract 219.05, King County, Washington",5655,383,3.9,2
1400000US53033021906,"Census Tract 219.06, King County, Washington",4572,343,10.1,6.7
1400000US53033022001,"Census Tract 220.01, King County, Washington",5608,473,4.2,3.6
1400000US53033022003,"Census Tract 220.03, King County, Washington",5245,375,3.5,1.5
1400000US53033022005,"Census Tract 220.05, King County, Washington",5012,327,8.6,4
1400000US53033022006,"Census Tract 220.06, King County, Washington",3740,370,9.7,4.5
1400000US53033022101,"Census Tract 221.01, King County, Washington",4879,293,5.2,2.1
1400000US53033022102,"Census Tract 221.02, King County, Washington",6366,376,4.4,2.8
1400000US53033022201,"Census Tract 222.01, King County, Washington",4684,251,4.5,2
1400000US53033022202,"Census Tract 222.02, King County, Washington",7437,474,7.6,4.2
1400000US53033022203,"Census Tract 222.03, King County, Washington",4963,294,6.1,3.6
1400000US53033022300,"Census Tract 223, King County, Washington",2647,197,2.1,1.6
1400000US53033022400,"Census Tract 224, King County, Washington",8808,462,5.5,2.6
1400000US53033022500,"Census Tract 225, King County, Washington",8429,492,5,2.1
1400000US53033022603,"Census Tract 226.03, King County, Washington",6223,357,5.7,3.1
1400000US53033022604,"Census Tract 226.04, King County, Washington",5082,290,2.2,2.7
1400000US53033022605,"Census Tract 226.05, King County, Washington",6621,431,8.9,4.3
1400000US53033022606,"Census Tract 226.06, King County, Washington",6279,360,1.7,1.7
1400000US53033022701,"Census Tract 227.01, King County, Washington",3302,283,4.3,2
1400000US53033022702,"Census Tract 227.02, King County, Washington",3619,268,6.4,2.9
1400000US53033022703,"Census Tract 227.03, King County, Washington",2546,208,9.5,5.4
1400000US53033022801,"Census Tract 228.01, King County, Washington",9101,549,4.4,2.1
1400000US53033022802,"Census Tract 228.02, King County, Washington",5230,292,5.5,2.9
1400000US53033022803,"Census Tract 228.03, King County, Washington",6185,475,8.1,3.9
1400000US53033022901,"Census Tract 229.01, King County, Washington",2700,187,4.6,2.6
1400000US53033022902,"Census Tract 229.02, King County, Washington",6649,450,4,1.9
1400000US53033023000,"Census Tract 230, King County, Washington",6159,354,5.8,3.6
1400000US53033023100,"Census Tract 231, King County, Washington",4169,265,4.7,2.7
1400000US53033023201,"Census Tract 232.01, King County, Washington",6535,370,10.8,3.5
1400000US53033023202,"Census Tract 232.02, King County, Washington",4594,271,14.6,6
1400000US53033023300,"Census Tract 233, King County, Washington",7247,548,12.6,4.7
1400000US53033023401,"Census Tract 234.01, King County, Washington",3923,256,11.7,5.2
1400000US53033023403,"Census Tract 234.03, King County, Washington",4317,258,5,2.3
1400000US53033023404,"Census Tract 234.04, King County, Washington",3547,207,2.1,1.4
1400000US53033023500,"Census Tract 235, King County, Washington",4060,212,6.3,3.6
1400000US53033023601,"Census Tract 236.01, King County, Washington",4349,272,5,2.7
1400000US53033023603,"Census Tract 236.03, King County, Washington",6549,471,11,6.8
1400000US53033023604,"Census Tract 236.04, King County, Washington",6297,456,14.3,5.9
1400000US53033023700,"Census Tract 237, King County, Washington",4580,239,2.6,1.6
1400000US53033023801,"Census Tract 238.01, King County, Washington",3419,393,3.9,2.5
1400000US53033023803,"Census Tract 238.03, King County, Washington",5662,484,6.5,3.2
1400000US53033023804,"Census Tract 238.04, King County, Washington",7965,453,4.8,2
1400000US53033023900,"Census Tract 239, King County, Washington",6926,387,5.5,2.4
1400000US53033024000,"Census Tract 240, King County, Washington",7656,442,4,2.5
1400000US53033024100,"Census Tract 241, King County, Washington",4918,126,4.1,1.4
1400000US53033024200,"Census Tract 242, King County, Washington",3255,27,5.1,4.1
1400000US53033024300,"Census Tract 243, King County, Washington",8895,475,8.3,4
1400000US53033024400,"Census Tract 244, King County, Washington",3059,273,6,5.5
1400000US53033024500,"Census Tract 245, King County, Washington",5120,291,3.3,2.2
1400000US53033024601,"Census Tract 246.01, King County, Washington",4530,202,3.9,2.6
1400000US53033024602,"Census Tract 246.02, King County, Washington",3884,177,4.2,2.5
1400000US53033024701,"Census Tract 247.01, King County, Washington",3991,430,7,3
1400000US53033024702,"Census Tract 247.02, King County, Washington",7643,390,3.7,2.4
1400000US53033024800,"Census Tract 248, King County, Washington",5894,471,9.5,5.6
1400000US53033024901,"Census Tract 249.01, King County, Washington",5210,252,2.4,1.9
1400000US53033024902,"Census Tract 249.02, King County, Washington",4168,224,3,1.8
1400000US53033024903,"Census Tract 249.03, King County, Washington",6730,508,3.5,2.3
1400000US53033025001,"Census Tract 250.01, King County, Washington",5375,306,5.2,2.8
1400000US53033025003,"Census Tract 250.03, King County, Washington",7014,488,3,2.3
1400000US53033025005,"Census Tract 250.05, King County, Washington",5184,312,4.6,2
1400000US53033025006,"Census Tract 250.06, King County, Washington",6326,408,2,1.5
1400000US53033025101,"Census Tract 251.01, King County, Washington",6633,637,9.6,5.2
1400000US53033025102,"Census Tract 251.02, King County, Washington",8195,449,4.5,3.6
1400000US53033025200,"Census Tract 252, King County, Washington",8965,432,9.8,3.7
1400000US53033025301,"Census Tract 253.01, King County, Washington",6590,424,9.7,5.1
1400000US53033025302,"Census Tract 253.02, King County, Washington",5371,544,23.8,9
1400000US53033025400,"Census Tract 254, King County, Washington",7282,548,9.3,4.5
1400000US53033025500,"Census Tract 255, King County, Washington",5004,310,10.4,4
1400000US53033025601,"Census Tract 256.01, King County, Washington",5363,423,5.8,3.1
1400000US53033025602,"Census Tract 256.02, King County, Washington",6445,446,4.9,3.8
1400000US53033025701,"Census Tract 257.01, King County, Washington",6535,404,9.9,3.7
1400000US53033025702,"Census Tract 257.02, King County, Washington",3509,226,3.8,2.4
1400000US53033025803,"Census Tract 258.03, King County, Washington",4715,468,9.2,5.1
1400000US53033025804,"Census Tract 258.04, King County, Washington",3518,314,7.6,4.8
1400000US53033025805,"Census Tract 258.05, King County, Washington",5244,384,5.4,3.6
1400000US53033025806,"Census Tract 258.06, King County, Washington",5406,374,8.7,5.6
1400000US53033026001,"Census Tract 260.01, King County, Washington",5650,362,3.2,1.8
1400000US53033026002,"Census Tract 260.02, King County, Washington",8267,807,18.1,7.3
1400000US53033026100,"Census Tract 261, King County, Washington",8407,773,14.7,7.9
1400000US53033026200,"Census Tract 262, King County, Washington",5725,485,8.6,4.4
1400000US53033026300,"Census Tract 263, King County, Washington",1588,159,4.1,2.5
1400000US53033026400,"Census Tract 264, King County, Washington",5943,762,4.4,2.5
1400000US53033026500,"Census Tract 265, King County, Washington",4295,444,29.9,9.2
1400000US53033026600,"Census Tract 266, King County, Washington",2255,184,12.9,5.9
1400000US53033026700,"Census Tract 267, King County, Washington",5579,490,17,8.1
1400000US53033026801,"Census Tract 268.01, King County, Washington",6004,615,15.2,6.6
1400000US53033026802,"Census Tract 268.02, King County, Washington",5487,512,14.9,6.3
1400000US53033027000,"Census Tract 270, King County, Washington",3162,226,14.6,8.5
1400000US53033027100,"Census Tract 271, King County, Washington",3655,448,17.2,8.3
1400000US53033027200,"Census Tract 272, King County, Washington",2582,253,22.9,9.5
1400000US53033027300,"Census Tract 273, King County, Washington",5598,360,15.5,7.5
1400000US53033027400,"Census Tract 274, King County, Washington",5421,381,4.4,2
1400000US53033027500,"Census Tract 275, King County, Washington",4631,293,13.4,4.6
1400000US53033027600,"Census Tract 276, King County, Washington",4584,368,10.6,5.5
1400000US53033027701,"Census Tract 277.01, King County, Washington",5260,435,6.7,3.1
1400000US53033027702,"Census Tract 277.02, King County, Washington",4972,423,3.8,2.7
1400000US53033027800,"Census Tract 278, King County, Washington",3375,215,3,1.8
1400000US53033027900,"Census Tract 279, King County, Washington",8064,687,14,6
1400000US53033028000,"Census Tract 280, King County, Washington",4643,418,21.5,9
1400000US53033028100,"Census Tract 281, King County, Washington",2829,240,11.5,4.6
1400000US53033028200,"Census Tract 282, King County, Washington",4940,402,21.3,8.9
1400000US53033028300,"Census Tract 283, King County, Washington",5345,381,7.4,4
1400000US53033028402,"Census Tract 284.02, King County, Washington",5254,411,11,4.3
1400000US53033028403,"Census Tract 284.03, King County, Washington",5112,637,8,4.7
1400000US53033028500,"Census Tract 285, King County, Washington",4193,348,8.9,4.4
1400000US53033028600,"Census Tract 286, King County, Washington",6524,314,5.9,4.1
1400000US53033028700,"Census Tract 287, King County, Washington",5337,398,6.4,3.7
1400000US53033028801,"Census Tract 288.01, King County, Washington",2539,380,7.6,5.7
1400000US53033028802,"Census Tract 288.02, King County, Washington",6927,442,27.8,9.5
1400000US53033028901,"Census Tract 289.01, King County, Washington",3321,267,4.1,2.6
1400000US53033028902,"Census Tract 289.02, King County, Washington",7072,703,21.9,8.8
1400000US53033029001,"Census Tract 290.01, King County, Washington",4706,308,6.2,3.6
1400000US53033029003,"Census Tract 290.03, King County, Washington",5663,515,11.3,7.1
1400000US53033029004,"Census Tract 290.04, King County, Washington",3941,355,28.3,8.6
1400000US53033029101,"Census Tract 291.01, King County, Washington",3327,347,3.7,2.6
1400000US53033029102,"Census Tract 291.02, King County, Washington",4686,454,8.1,5.9
1400000US53033029203,"Census Tract 292.03, King County, Washington",3128,312,14.2,4.9
1400000US53033029204,"Census Tract 292.04, King County, Washington",7677,590,14.4,4.9
1400000US53033029205,"Census Tract 292.05, King County, Washington",5097,461,7.3,5.3
1400000US53033029206,"Census Tract 292.06, King County, Washington",4230,447,24.4,7.2
1400000US53033029303,"Census Tract 293.03, King County, Washington",7369,446,9.5,4.6
1400000US53033029304,"Census Tract 293.04, King County, Washington",5411,379,2.3,1.4
1400000US53033029305,"Census Tract 293.05, King County, Washington",4146,362,4,4.3
1400000US53033029306,"Census Tract 293.06, King County, Washington",3729,341,3.2,2.2
1400000US53033029307,"Census Tract 293.07, King County, Washington",4288,361,4.3,3.7
1400000US53033029403,"Census Tract 294.03, King County, Washington",5941,405,10.7,4.2
1400000US53033029405,"Census Tract 294.05, King County, Washington",5783,375,8.5,4.9
1400000US53033029406,"Census Tract 294.06, King County, Washington",5223,373,5.5,4.7
1400000US53033029407,"Census Tract 294.07, King County, Washington",4837,443,23.1,7.1
1400000US53033029408,"Census Tract 294.08, King County, Washington",4087,394,15.5,6.2
1400000US53033029502,"Census Tract 295.02, King County, Washington",7757,573,14.2,3.9
1400000US53033029503,"Census Tract 295.03, King County, Washington",8885,531,29.5,9.2
1400000US53033029504,"Census Tract 295.04, King County, Washington",5970,631,24.7,12.2
1400000US53033029601,"Census Tract 296.01, King County, Washington",7565,602,19.2,9.5
1400000US53033029602,"Census Tract 296.02, King County, Washington",6293,448,2.7,1.7
1400000US53033029700,"Census Tract 297, King County, Washington",7508,621,16.4,6.5
1400000US53033029801,"Census Tract 298.01, King County, Washington",9802,729,5.8,3.3
1400000US53033029802,"Census Tract 298.02, King County, Washington",9316,837,8.1,4.8
1400000US53033029901,"Census Tract 299.01, King County, Washington",4512,318,9.4,5.1
1400000US53033029902,"Census Tract 299.02, King County, Washington",4809,355,7.8,6.1
1400000US53033030003,"Census Tract 300.03, King County, Washington",6511,420,5.4,4.3
1400000US53033030004,"Census Tract 300.04, King County, Washington",8871,895,20.1,8.2
1400000US53033030005,"Census Tract 300.05, King County, Washington",5850,403,16.1,5.8
1400000US53033030006,"Census Tract 300.06, King County, Washington",3964,352,19.1,5
1400000US53033030100,"Census Tract 301, King County, Washington",7527,669,10,7.7
1400000US53033030201,"Census Tract 302.01, King County, Washington",5461,693,7.4,4.2
1400000US53033030202,"Census Tract 302.02, King County, Washington",7103,398,15.4,6.1
1400000US53033030304,"Census Tract 303.04, King County, Washington",4200,360,16.6,10.1
1400000US53033030305,"Census Tract 303.05, King County, Washington",4966,367,16,6.9
1400000US53033030306,"Census Tract 303.06, King County, Washington",5462,412,6.9,3.8
1400000US53033030308,"Census Tract 303.08, King County, Washington",6996,437,4.4,2.3
1400000US53033030309,"Census Tract 303.09, King County, Washington",5399,444,7.1,3.6
1400000US53033030310,"Census Tract 303.10, King County, Washington",6512,520,5.3,3.8
1400000US53033030311,"Census Tract 303.11, King County, Washington",5059,300,6.5,3.5
1400000US53033030312,"Census Tract 303.12, King County, Washington",5079,379,11.3,5.5
1400000US53033030313,"Census Tract 303.13, King County, Washington",4314,411,17.2,7.3
1400000US53033030314,"Census Tract 303.14, King County, Washington",4257,375,21.3,8.2
1400000US53033030401,"Census Tract 304.01, King County, Washington",9305,693,5.6,3.8
1400000US53033030403,"Census Tract 304.03, King County, Washington",4593,221,6.9,3.5
1400000US53033030404,"Census Tract 304.04, King County, Washington",5001,299,5.2,4.4
1400000US53033030501,"Census Tract 305.01, King County, Washington",1876,227,23.6,6.9
1400000US53033030503,"Census Tract 305.03, King County, Washington",5189,590,7.7,4.2
1400000US53033030504,"Census Tract 305.04, King County, Washington",4649,349,15.3,5.9
1400000US53033030600,"Census Tract 306, King County, Washington",5533,564,6.7,6.2
1400000US53033030700,"Census Tract 307, King County, Washington",3999,365,10.6,4.2
1400000US53033030801,"Census Tract 308.01, King County, Washington",6752,707,16.2,7.4
1400000US53033030802,"Census Tract 308.02, King County, Washington",3431,360,18.4,6.1
1400000US53033030901,"Census Tract 309.01, King County, Washington",3755,293,6.2,5.4
1400000US53033030902,"Census Tract 309.02, King County, Washington",6350,291,8,5.5
1400000US53033031000,"Census Tract 310, King County, Washington",4518,311,2.8,2
1400000US53033031100,"Census Tract 311, King County, Washington",7232,388,11.8,3
1400000US53033031202,"Census Tract 312.02, King County, Washington",6465,538,7.5,3
1400000US53033031204,"Census Tract 312.04, King County, Washington",6093,428,2,1.3
1400000US53033031205,"Census Tract 312.05, King County, Washington",8114,691,22.7,9.5
1400000US53033031206,"Census Tract 312.06, King County, Washington",5692,434,6.3,3.8
1400000US53033031301,"Census Tract 313.01, King County, Washington",2499,259,13.6,7.4
1400000US53033031302,"Census Tract 313.02, King County, Washington",4364,276,11.7,4.4
1400000US53033031400,"Census Tract 314, King County, Washington",6016,381,9.3,5.5
1400000US53033031501,"Census Tract 315.01, King County, Washington",4109,338,7.7,3.5
1400000US53033031502,"Census Tract 315.02, King County, Washington",4280,321,4.5,2.5
1400000US53033031601,"Census Tract 316.01, King County, Washington",5499,291,9.6,4.4
1400000US53033031603,"Census Tract 316.03, King County, Washington",6712,385,4.2,2
1400000US53033031604,"Census Tract 316.04, King County, Washington",5826,308,2.9,2.8
1400000US53033031605,"Census Tract 316.05, King County, Washington",4181,430,2.6,2
1400000US53033031703,"Census Tract 317.03, King County, Washington",6917,583,5.3,4.3
1400000US53033031704,"Census Tract 317.04, King County, Washington",6090,416,5.3,2.9
1400000US53033031705,"Census Tract 317.05, King County, Washington",4157,327,2.8,2.2
1400000US53033031706,"Census Tract 317.06, King County, Washington",8335,508,8.4,3.2
1400000US53033031800,"Census Tract 318, King County, Washington",4727,304,2.8,1.6
1400000US53033031903,"Census Tract 319.03, King County, Washington",7186,437,2.6,2
1400000US53033031904,"Census Tract 319.04, King County, Washington",3318,201,6,4.2
1400000US53033031906,"Census Tract 319.06, King County, Washington",3999,218,6,3.3
1400000US53033031907,"Census Tract 319.07, King County, Washington",8284,529,7.9,5.6
1400000US53033031908,"Census Tract 319.08, King County, Washington",4377,471,10.2,5.4
1400000US53033031909,"Census Tract 319.09, King County, Washington",3239,191,9,8.1
1400000US53033032002,"Census Tract 320.02, King County, Washington",3139,227,5.7,3.3
1400000US53033032003,"Census Tract 320.03, King County, Washington",5549,370,5.2,3
1400000US53033032005,"Census Tract 320.05, King County, Washington",6794,451,1,0.9
1400000US53033032006,"Census Tract 320.06, King County, Washington",5550,264,6.3,3
1400000US53033032007,"Census Tract 320.07, King County, Washington",3495,372,1,1.2
1400000US53033032008,"Census Tract 320.08, King County, Washington",4488,187,1.8,1.6
1400000US53033032010,"Census Tract 320.10, King County, Washington",6229,356,5.8,4.2
1400000US53033032011,"Census Tract 320.11, King County, Washington",4455,251,2.7,1.8
1400000US53033032102,"Census Tract 321.02, King County, Washington",5267,545,4.3,2.2
